Date,Session_Ads_campaign
01.01.2019,0
02.01.2019,0
03.01.2019,0
04.01.2019,0
05.01.2019,0
06.01.2019,0
07.01.2019,0
08.01.2019,0
09.01.2019,0
10.01.2019,0
11.01.2019,0
12.01.2019,0
13.01.2019,0
14.01.2019,0
15.01.2019,0
16.01.2019,0
17.01.2019,0
18.01.2019,0
19.01.2019,0
20.01.2019,0
21.01.2019,0
22.01.2019,0
23.01.2019,0
24.01.2019,0
25.01.2019,0
26.01.2019,0
27.01.2019,0
28.01.2019,0
29.01.2019,0
30.01.2019,0
31.01.2019,0
01.02.2019,0
02.02.2019,0
03.02.2019,0
04.02.2019,21
05.02.2019,23
06.02.2019,15
07.02.2019,27
08.02.2019,37
09.02.2019,21
10.02.2019,21
11.02.2019,29
12.02.2019,20
13.02.2019,34
14.02.2019,29
15.02.2019,28
16.02.2019,20
17.02.2019,32
18.02.2019,32
19.02.2019,40
20.02.2019,19
21.02.2019,16
22.02.2019,20
23.02.2019,19
24.02.2019,42
25.02.2019,9
26.02.2019,3
27.02.2019,38
28.02.2019,24
01.03.2019,34
02.03.2019,32
03.03.2019,30
04.03.2019,30
05.03.2019,39
06.03.2019,9
07.03.2019,41
08.03.2019,16
09.03.2019,16
10.03.2019,43
11.03.2019,25
12.03.2019,29
13.03.2019,24
14.03.2019,24
15.03.2019,20
16.03.2019,32
17.03.2019,37
18.03.2019,22
19.03.2019,32
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,79
28.03.2019,83
29.03.2019,121
30.03.2019,147
31.03.2019,98
01.04.2019,109
02.04.2019,100
03.04.2019,74
04.04.2019,100
05.04.2019,112
06.04.2019,105
07.04.2019,150
08.04.2019,146
09.04.2019,96
10.04.2019,99
11.04.2019,103
12.04.2019,103
13.04.2019,99
14.04.2019,112
15.04.2019,91
16.04.2019,100
17.04.2019,175
18.04.2019,178
19.04.2019,153
20.04.2019,284
21.04.2019,277
22.04.2019,202
23.04.2019,210
24.04.2019,182
25.04.2019,247
26.04.2019,187
27.04.2019,156
28.04.2019,138
29.04.2019,169
30.04.2019,105
01.05.2019,134
02.05.2019,157
03.05.2019,139
04.05.2019,150
05.05.2019,202
06.05.2019,172
07.05.2019,166
08.05.2019,193
09.05.2019,215
10.05.2019,276
11.05.2019,414
12.05.2019,330
13.05.2019,315
14.05.2019,348
15.05.2019,336
16.05.2019,300
17.05.2019,245
18.05.2019,498
19.05.2019,440
20.05.2019,412
21.05.2019,312
22.05.2019,278
23.05.2019,270
24.05.2019,260
25.05.2019,304
26.05.2019,289
27.05.2019,238
28.05.2019,204
29.05.2019,221
30.05.2019,254
31.05.2019,431
01.06.2019,373
02.06.2019,385
03.06.2019,435
04.06.2019,370
05.06.2019,421
06.06.2019,365
07.06.2019,363
08.06.2019,456
09.06.2019,549
10.06.2019,427
11.06.2019,345
12.06.2019,353
13.06.2019,384
14.06.2019,442
15.06.2019,415
16.06.2019,464
17.06.2019,451
18.06.2019,456
19.06.2019,361
20.06.2019,518
21.06.2019,547
22.06.2019,397
23.06.2019,462
24.06.2019,658
25.06.2019,529
26.06.2019,677
27.06.2019,498
28.06.2019,610
29.06.2019,879
30.06.2019,819
01.07.2019,424
02.07.2019,349
03.07.2019,263
04.07.2019,330
05.07.2019,336
06.07.2019,341
07.07.2019,378
08.07.2019,367
09.07.2019,500
10.07.2019,526
11.07.2019,504
12.07.2019,512
13.07.2019,684
14.07.2019,602
15.07.2019,585
16.07.2019,581
17.07.2019,569
18.07.2019,657
19.07.2019,459
20.07.2019,543
21.07.2019,477
22.07.2019,557
23.07.2019,534
24.07.2019,768
25.07.2019,759
26.07.2019,707
27.07.2019,699
28.07.2019,659
29.07.2019,768
30.07.2019,588
31.07.2019,374
01.08.2019,412
02.08.2019,517
03.08.2019,585
04.08.2019,452
05.08.2019,549
06.08.2019,415
07.08.2019,478
08.08.2019,429
09.08.2019,465
10.08.2019,514
11.08.2019,423
12.08.2019,359
13.08.2019,272
14.08.2019,330
15.08.2019,292
16.08.2019,342
17.08.2019,271
18.08.2019,314
19.08.2019,416
20.08.2019,373
21.08.2019,335
22.08.2019,352
23.08.2019,354
24.08.2019,249
25.08.2019,62
26.08.2019,40
27.08.2019,28
28.08.2019,15
29.08.2019,16
30.08.2019,13
31.08.2019,14
01.09.2019,18
02.09.2019,9
03.09.2019,113
04.09.2019,153
05.09.2019,162
06.09.2019,160
07.09.2019,361
08.09.2019,250
09.09.2019,126
10.09.2019,107
11.09.2019,131
12.09.2019,117
13.09.2019,214
14.09.2019,291
15.09.2019,101
16.09.2019,115
17.09.2019,93
18.09.2019,107
19.09.2019,111
20.09.2019,146
21.09.2019,287
22.09.2019,245
23.09.2019,93
24.09.2019,72
25.09.2019,87
26.09.2019,85
27.09.2019,95
28.09.2019,118
29.09.2019,84
30.09.2019,63
01.10.2019,62
02.10.2019,123
03.10.2019,93
04.10.2019,96
05.10.2019,119
06.10.2019,94
07.10.2019,69
08.10.2019,64
09.10.2019,77
10.10.2019,95
11.10.2019,78
12.10.2019,101
13.10.2019,100
14.10.2019,75
15.10.2019,97
16.10.2019,68
17.10.2019,79
18.10.2019,78
19.10.2019,85
20.10.2019,62
21.10.2019,50
22.10.2019,50
23.10.2019,39
24.10.2019,44
25.10.2019,60
26.10.2019,37
27.10.2019,60
28.10.2019,27
29.10.2019,53
30.10.2019,38
31.10.2019,31
01.11.2019,22
02.11.2019,27
03.11.2019,30
04.11.2019,29
05.11.2019,32
06.11.2019,37
07.11.2019,33
08.11.2019,37
09.11.2019,39
10.11.2019,27
11.11.2019,19
12.11.2019,32
13.11.2019,34
14.11.2019,35
15.11.2019,29
16.11.2019,22
17.11.2019,20
18.11.2019,38
19.11.2019,36
20.11.2019,36
21.11.2019,22
22.11.2019,21
23.11.2019,17
24.11.2019,24
25.11.2019,24
26.11.2019,26
27.11.2019,22
